income_mismatch_ratio,annuity_to_balance_ratio,balance_volatility_cv,surge_ratio_max_to_avg,ocr_quality_mean,min_to_avg_balance_ratio,applicant_age_norm,employment_tenure_years,inflow_regularity_score,iscore_normalized,inflow_uniformity_score,bureau_facilities_count,applicant_id,is_fraud,record_type
0.14641881230101586,0.3118562247424686,0.4263975135435207,1.312559658839604,0.9708472372522532,0.32723726887033355,0.37310337012261835,8.996291045747208,0.8993054005814967,0.7700822799384361,0.43269495490899534,3.0,APP-EG-2026-00000,0,AUTHENTIC_BORROWER
0.029861614593757566,0.19647885672142684,0.5428250070987624,1.9907051155711601,0.6196564073237862,0.28093288223795826,0.2997163248701707,2.808923684039558,0.7729783308369444,0.67014266052627,0.12246822508493647,2.0,APP-EG-2026-00001,0,AUTHENTIC_BORROWER
0.058195195445648995,0.23427420574927343,0.32120167501748476,1.2374317043579668,0.9062997687282566,0.44244285946875256,0.4974973069528861,10.03442277279683,0.8967695301528789,0.7422564816742164,0.45728159549054204,1.0,APP-EG-2026-00002,0,AUTHENTIC_BORROWER
0.044013758051839054,0.26022978979278194,0.35362427535532787,1.4017272003488177,0.928876546572075,0.4236591005282372,0.5877603573550548,9.218871087300633,0.8469408853555696,0.7058710725648563,0.29846530623358547,1.0,APP-EG-2026-00003,0,AUTHENTIC_BORROWER
0.030936555652574117,0.15896015499548213,0.2086611079652525,2.194386371980936,0.9386775025250915,0.3851976911776367,0.355411607435881,7.961640753084389,0.9350495758799665,0.8880501207788355,0.33999643757736836,3.0,APP-EG-2026-00004,0,AUTHENTIC_BORROWER
0.19000497682426554,0.2539564566916543,0.32011419419689024,1.281091336227092,0.6506999283627778,0.46947432473524836,0.7253464643425347,15.712257766739807,0.9887745139244144,0.6964840052060205,0.44640851293236256,2.0,APP-EG-2026-00005,0,AUTHENTIC_BORROWER
0.0818483639255502,0.1238553891435314,0.5794811981946077,1.688432089342684,0.9688735733041552,0.23695881004423944,0.6153761785132946,4.703686782387977,0.7867402549676608,0.8391470740237126,0.08275747859173976,3.0,APP-EG-2026-00006,0,AUTHENTIC_BORROWER
0.0894348143175359,0.3025616067431657,0.528201915188756,1.72759141825414,0.9695229897812767,0.2691934129543383,0.660625724400473,3.9249843626994876,0.7227619391842862,0.7598272032508513,0.013039010486428993,1.0,APP-EG-2026-00007,0,AUTHENTIC_BORROWER
0.018861576772379915,0.28655511484731105,0.3725978055738799,2.121689294574736,0.9661597543560982,0.42350838100587296,0.5226251352527227,8.809155443902533,0.7819687236848479,0.7298670846020011,0.11291531236172313,1.0,APP-EG-2026-00008,0,AUTHENTIC_BORROWER
0.07792092647748806,0.24067716836373143,0.4175856291947171,1.4899225743789715,0.9714482069540956,0.2961654474265679,0.6283697786867808,11.541702691512446,0.9744710808940873,0.6841779211564358,0.11988947364440289,4.0,APP-EG-2026-00009,0,AUTHENTIC_BORROWER
